"stock_code"	"chi_sht"	"com_name"	"class_system"	"ind_name"
"000901.SZ"	"航天科技"	"航天风华科技控股集团股份有限公司"	"申万三级"	"仪器仪表"
"000676.SZ"	"智度股份"	"智度科技股份有限公司"	"申万三级"	"仪器仪表"
"603555.SH"	"贵人鸟"	"贵人鸟股份有限公司"	"申万三级"	"休闲服装"
"002776.SZ"	"柏堡龙"	"广东柏堡龙股份有限公司"	"申万三级"	"休闲服装"
"002699.SZ"	"美盛文化"	"美盛文化创意股份有限公司"	"申万三级"	"休闲服装"
"002640.SZ"	"跨境通"	"跨境通宝电子商务股份有限公司"	"申万三级"	"休闲服装"
"002563.SZ"	"森马服饰"	"浙江森马服饰股份有限公司"	"申万三级"	"休闲服装"
"002503.SZ"	"搜于特"	"东莞市搜于特服装股份有限公司"	"申万三级"	"休闲服装"
"002269.SZ"	"美邦服饰"	"上海美特斯邦威服饰股份有限公司"	"申万三级"	"休闲服装"
"601877.SH"	"正泰电器"	"浙江正泰电器股份有限公司"	"申万三级"	"低压设备"
"600885.SH"	"宏发股份"	"宏发科技股份有限公司"	"申万三级"	"低压设备"
"600468.SH"	"百利电气"	"天津百利特精电气股份有限公司"	"申万三级"	"低压设备"
"300414.SZ"	"中光防雷"	"四川中光防雷科技股份有限公司"	"申万三级"	"低压设备"
"300283.SZ"	"温州宏丰"	"温州宏丰电工合金股份有限公司"	"申万三级"	"低压设备"
"002706.SZ"	"良信电器"	"上海良信电器股份有限公司"	"申万三级"	"低压设备"
"002441.SZ"	"众业达"	"众业达电气股份有限公司"	"申万三级"	"低压设备"
"601628.SH"	"中国人寿"	"中国人寿保险股份有限公司"	"申万三级"	"保险"
"601601.SH"	"中国太保"	"中国太平洋保险(集团)股份有限公司"	"申万三级"	"保险"
"601336.SH"	"新华保险"	"新华人寿保险股份有限公司"	"申万三级"	"保险"
"601318.SH"	"中国平安"	"中国平安保险(集团)股份有限公司"	"申万三级"	"保险"
"600291.SH"	"西水股份"	"内蒙古西水创业股份有限公司"	"申万三级"	"保险"
"600847.SH"	"万里股份"	"重庆万里新能源股份有限公司"	"申万三级"	"储能设备"
"600405.SH"	"动力源"	"北京动力源科技股份有限公司"	"申万三级"	"储能设备"
"300491.SZ"	"通合科技"	"石家庄通合电子科技股份有限公司"	"申万三级"	"储能设备"
"300376.SZ"	"易事特"	"易事特集团股份有限公司"	"申万三级"	"储能设备"
"300153.SZ"	"科泰电源"	"上海科泰电源股份有限公司"	"申万三级"	"储能设备"
"300068.SZ"	"南都电源"	"浙江南都电源动力股份有限公司"	"申万三级"	"储能设备"
"300011.SZ"	"鼎汉技术"	"北京鼎汉技术股份有限公司"	"申万三级"	"储能设备"
"002733.SZ"	"雄韬股份"	"深圳市雄韬电源科技股份有限公司"	"申万三级"	"储能设备"
"002580.SZ"	"圣阳股份"	"山东圣阳电源股份有限公司"	"申万三级"	"储能设备"
"002518.SZ"	"科士达"	"深圳科士达科技股份有限公司"	"申万三级"	"储能设备"
"002364.SZ"	"中恒电气"	"杭州中恒电气股份有限公司"	"申万三级"	"储能设备"
"002335.SZ"	"科华恒盛"	"厦门科华恒盛股份有限公司"	"申万三级"	"储能设备"
"002227.SZ"	"奥特迅"	"深圳奥特迅电力设备股份有限公司"	"申万三级"	"储能设备"
"603806.SH"	"福斯特"	"杭州福斯特应用材料股份有限公司"	"申万三级"	"光伏设备"
"601908.SH"	"京运通"	"北京京运通科技股份有限公司"	"申万三级"	"光伏设备"
"601012.SH"	"隆基股份"	"隆基绿能科技股份有限公司"	"申万三级"	"光伏设备"
"600537.SH"	"亿晶光电"	"亿晶光电科技股份有限公司"	"申万三级"	"光伏设备"
"600401.SH"	"*ST海润"	"海润光伏科技股份有限公司"	"申万三级"	"光伏设备"
"600151.SH"	"航天机电"	"上海航天汽车机电股份有限公司"	"申万三级"	"光伏设备"
"300393.SZ"	"中来股份"	"苏州中来光伏新材股份有限公司"	"申万三级"	"光伏设备"
"300316.SZ"	"晶盛机电"	"浙江晶盛机电股份有限公司"	"申万三级"	"光伏设备"
"300274.SZ"	"阳光电源"	"阳光电源股份有限公司"	"申万三级"	"光伏设备"
"300118.SZ"	"东方日升"	"东方日升新能源股份有限公司"	"申万三级"	"光伏设备"
"300111.SZ"	"向日葵"	"浙江向日葵光能科技股份有限公司"	"申万三级"	"光伏设备"
"300029.SZ"	"天龙光电"	"江苏华盛天龙光电设备股份有限公司"	"申万三级"	"光伏设备"
"002610.SZ"	"爱康科技"	"江苏爱康科技股份有限公司"	"申万三级"	"光伏设备"
"002506.SZ"	"协鑫集成"	"协鑫集成科技股份有限公司"	"申万三级"	"光伏设备"
"002309.SZ"	"中利集团"	"江苏中利集团股份有限公司"	"申万三级"	"光伏设备"
