股票代码;公司简称;公司全称;公司英文名称;成立日期;所属地域;曾用名;法定代表人;独立董事;会计师事务所;证券事务代表;咨询服务机构;所属概念;所属行业
000061;农产品;深圳市农产品股份有限公司;Shenzhen Agricultural Products Co., Ltd.;1994-01-19;广东;农产品、G农产品;蔡颖;刘鲁鱼、宁钟、梅月欣、张志勇、王丽娜;瑞华会计师事务所(特殊普通合伙);裴欣;信达律师事务所;金融改革、融资融券、食品安全、网贷概念;食品零售与批发
000062;深圳华强;深圳华强实业股份有限公司;Shenzhen Huaqiang Industry Co., Ltd.;1994-01-19;广东;深圳华强、G华强;胡新安;邓磊、周生明、姚家勇;天健会计师事务所(特殊普通合伙);黄辉、李茂群;北京金诚律师事务所;融资融券、新三板、网贷概念;消费电子产品
000063;中兴通讯;中兴通讯股份有限公司;ZTE Corporation;1997-11-11;广东;中兴通讯、G中兴;殷一民;--;安永华明会计师事务所(特殊普通合伙);徐宇龙;;4G概念、5G概念、含H股、IPV6概念、宽带提速、融资融券、三网融合、新三板、云计算;通讯设备
000065;北方国际;北方国际合作股份有限公司;Norinco International Cooperation Ltd.;1984-12-01;北京;深圳西林、北方国际、G北方;原军;何佳、鲍恩斯、谢兴国;致同会计师事务所（特殊普通合伙）;罗乐;;国防军工、军工航天、铁路基建、重组概念;建筑施工
000066;中国长城;中国长城科技集团股份有限公司;China Greatwall Technology Group Co., Ltd.;1997-06-21;广东;长城电脑、G长城、长城电脑;靳宏荣;蓝庆新、虞世全、吴中海;信永中和会计师事务所有限责任公司;邓文韬;广东博洋律师事务所;军民融合、太阳能、云计算;计算机硬件
000068;华控赛格;深圳华控赛格股份有限公司;Shenzhen Huakong Seg Co., Ltd.;1997-06-06;广东;赛格中康、赛格三星、S三星、赛格三星、ST三星、ST华赛、华控赛格、*ST华赛;黄俞;林涛、孙枫、任意、雷达;大华会计师事务所(特殊普通合伙);--;广东博洋律师事务所;摘帽概念;电子电气组件与设备
000069;华侨城A;深圳华侨城股份有限公司;Shenzhen Overseas Chinese Town Co., Ltd.;1997-09-02;广东;华侨城A、G华侨城;段先念;余海龙、吴安迪、周纪昌、许刚;瑞华会计师事务所(特殊普通合伙);陈兰;通商律师事务所;融资融券;酒店业
000070;特发信息;深圳市特发信息股份有限公司;Shenzhen SDG Information Co., Ltd.;1997-07-29;广东;特发信息、G特发;蒋勤俭;王宇新、韦岗、王继中;中瑞岳华会计师事务所(特殊普通合伙);杨文;广东华商律师事务所;国防军工、军工航天、宽带提速、云计算;通讯设备
000078;海王生物;深圳市海王生物工程股份有限公司;Shenzhen Neptunus Bioengineering Co., Ltd.;1992-12-13;广东;海王生物、G海王;张思民;刘来平、谷杨、詹伟哉;致同会计师事务所(特殊普通合伙);谢德胜;北京市康达律师事务所;融资融券、生物疫苗;制药
000088;盐田港;深圳市盐田港股份有限公司;Shenzhen Yan Tian Port Holdings Co., Ltd.;1997-07-21;广东;盐田港A、G盐田港;乔宏伟;李若山、黄胜蓝、宋萍萍;瑞华会计师事务所(特殊普通合伙);罗静涛;深圳市罗湖律师事务所;融资融券;运输服务
000089;深圳机场;深圳机场股份有限公司;Shenzhen Airport Co., Ltd.;1998-04-10;广东;深圳机场、G深机场;罗育德;沈维涛、黄亚英、赵波;瑞华会计师事务所(特殊普通合伙);林俊;国浩律师集团事务所;融资融券;运输服务
000090;天健集团;深圳市天健(集团)股份有限公司;Shenzhen Tagen Group Co., Ltd.;1993-12-06;广东;深天健、G天健、深天健;韩德宏;郭刚、王成义、潘同文;瑞华会计师事务所(特殊普通合伙);陆炜弘;国浩律师集团（深圳）事务所;融资融券;建筑施工
000096;广聚能源;深圳市广聚能源股份有限公司;Shenzhen Guangju Energy Co., Ltd.;1999-02-18;广东;广聚能源、G广聚;张桂泉;唐天云、李颖琦、周霞、赵政;瑞华会计师事务所(特殊普通合伙);李涵;广东海埠律师事务所;--;油气综采
000099;中信海直;中信海洋直升机股份有限公司;CITIC Offshore Helicopter Co., Ltd.;1999-02-11;广东;中信海直、G海直;蒲坚;郭海兰、叶忠为、张长江、王玉梅、苏梅;北京永拓会计师事务所(特殊普通合伙);王洁;信达律师事务所;海工装备、海南自贸、军工航天、融资融券、三沙概念;递送服务
000100;TCL集团;TCL集团股份有限公司;TCL Corporation;2002-04-19;广东;TCL集团、GTCL集团、TCL集团、*STTCL;李东生;阎焱、卢馨、周国富、刘薰词;大华会计师事务所(特殊普通合伙);王建勋;北京市嘉源律师事务所;O2O模式、融资融券、涉矿概念、新零售、新三板;消费电子产品
000150;宜华健康;宜华健康医疗股份有限公司;YIHUA HEALTHCARE Co. Ltd.;1993-02-19;广东;麦科特、ST麦科特、*ST光电、光电股份、S光电、S*ST光电、S*ST宜地、*ST宜地、宜华地产;陈奕民;夏成才、郭维、王振耀;中审众环会计师事务所（特殊普通合伙）;刘晓;广东明大律师事务所;--;医疗保健服务
000151;中成股份;中成进出口股份有限公司;China National Complete Plant Import and Export Corporation Limited;1999-03-01;北京;中成股份、G中成;刘艳;江华、于太祥、武雅斌;信永中和会计师事务所(特殊普通合伙);--;竞天公诚律师事务所;海水淡化、融资融券;综合供应商
000153;丰原药业;安徽丰原药业股份有限公司;Anhui Fengyuan Pharmaceutical Co., Ltd.;1997-08-30;安徽;新力药业、丰原药业、G丰原药;何宏满;杨敬石、张瑞稳、丁斌;北京中证天通会计师事务所有限公司;张群山;蚌埠未名律师事务所;皖江区域;制药
000155;川化股份;川化股份有限公司;Sichuan Chemical Company Limited;1997-10-20;四川;川化股份、G川化、川化股份、*ST川化、川化股份、ST川化、*ST川化;王诚;曾廷敏、张玲玲;四川华信(集团)会计师事务所有限责任公司;付佳;中银律师事务所;成渝特区、低碳经济;特种化工品
000156;华数传媒;华数传媒控股股份有限公司;Wasu Media Holding Co., Ltd.;1994-06-30;浙江;安塑股份、嘉瑞新材、*ST嘉瑞、S*ST嘉瑞、*ST嘉瑞;陆政品;董安生、许倩、吴小莉、曹恒、聂润成;天健会计师事务所(特殊普通合伙);方磊;湖南联合创业律师事务所;融资融券、新三板;广播与娱乐
000157;中联重科;中联重科股份有限公司;Zoomlion Heavy Industry Science and Technology Co., Ltd.;1999-08-01;湖南;中联重科、G中联;詹纯新;刘桂良、黎建强、赵嵩正、杨昌伯;天职国际会计师事务所有限公司;郭慆;北京市中银律师事务所;长株潭、含H股、融资融券;商用运载工具与车辆
000158;常山北明;石家庄常山北明科技股份有限公司;Shijiazhuang Changshan Beiming Technology Co., Ltd.;1998-12-29;河北;常山股份、G常山、常山股份;肖荣智;李质仙、朱北娜、史静敏、李量、袁宗琦;中兴财光华会计师事务所(特殊普通合伙);张莉;河北冯增书律师事务所;创投概念、京津冀;服装与服饰
000159;国际实业;新疆国际实业股份有限公司;Xinjiang International Industry Co., Ltd.;1999-03-28;新疆;国际实业、G新国际;丁治平;徐世美、胡本源、邓峰;中审华会计师事务所(特殊普通合伙);顾君珍;天阳律师事务所;丝绸之路、涉矿概念;煤炭开采
000166;申万宏源;申万宏源集团股份有限公司;Shenwan Hongyuan Group Co., Ltd.;2015-01-16;新疆;--;陈亮;黄丹涵、谢荣、叶梅;天健会计师事务所(特殊普通合伙);--;北京市海问律师事务所;融资融券;投资服务
000301;东方市场;江苏吴江中国东方丝绸市场股份有限公司;Jiangsu Wujiang China Eastern Silk Market Co., Ltd.;1998-07-16;江苏;丝绸股份、G丝绸、丝绸股份;计高雄;万解秋、连向阳、张祥建;天衡会计师事务所(特殊普通合伙);范佳健;金鼎律师事务所;创投概念;电力（IV）
000333;美的集团;美的集团股份有限公司;Midea Group Co., Ltd.;2000-04-07;广东;--;方洪波;吴世农、郭学进、黎文靖、芮萌;普华永道中天会计师事务所（特殊普通合伙）;欧云彬;北京市嘉源律师事务所;融资融券、小米概念;消费电子产品
000338;潍柴动力;潍柴动力股份有限公司;Weichai Power Co., Ltd.;2002-12-23;山东;--;谭旭光;张忠、王贡勇、宁向东、卢毅、李洪武;安永华明会计师事务所(特殊普通合伙);王丽;北京市金杜律师事务所;含H股、融资融券;工业机械
000400;许继电气;许继电气股份有限公司;XJ Electric Co., Ltd.;1993-03-15;河南;许继电气、G许继;张旭升;翟新生、尹项根、王叙果;瑞华会计师事务所(特殊普通合伙);张红燕;上正律师事务所;充电桩、融资融券、智能电网;电子电气组件与设备
000401;冀东水泥;唐山冀东水泥股份有限公司;Tangshan Jidong Cement Company Limited;1994-05-08;河北;冀东水泥、G冀东;姜长禄;郑洪涛、姚颐、孔祥忠、柴朝明;信永中和会计师事务所(特殊普通合伙);沈伟斌;;保障房、融资融券、雄安新区、重组概念、京津冀;建材与构件
000402;金融街;金融街控股股份有限公司;Financial Street Holdings Co., Ltd.;1995-11-08;北京;重庆华亚、金融街、G金融街;高靓;林义相、杨小舟、牛俊杰;致同会计师事务所(特殊普通合伙);范文;;融资融券;不动产投资开发
