"start_stock_code"	"start_chi_sht"	"start_com_name"	"start_com_type"	"end_stock_code"	"end_chi_sht"	"end_com_name"	"end_com_type"	"output_funt"	"report_dt"
"000043.SZ"	"中航地产"	"中航地产股份有限公司"	"深A"	""	""	"中国移动通信集团广东有限公司"	"非上市"	"3842.79"	"2017-12-31"
"000049.SZ"	"德赛电池"	"深圳市德赛电池科技股份有限公司"	"深A"	""	""	"宝时得机械(中国)有限公司"	"非上市"	"4450.99"	"2012-06-30"
"000049.SZ"	"德赛电池"	"深圳市德赛电池科技股份有限公司"	"深A"	""	""	"北京小米通讯技术有限公司"	"非上市"	"7537.21"	"2012-06-30"
"000049.SZ"	"德赛电池"	"深圳市德赛电池科技股份有限公司"	"深A"	""	""	"村田新能源(无锡)有限公司"	"非上市"	"24186.89"	"2012-06-30"
"000049.SZ"	"德赛电池"	"深圳市德赛电池科技股份有限公司"	"深A"	""	""	"天津三星视界有限公司"	"非上市"	"24797.61"	"2012-06-30"
"000050.SZ"	"深天马A"	"天马微电子股份有限公司"	"深A"	""	""	"武汉天马微电子有限公司"	"非上市"	"41305.96"	"2014-06-30"
"000050.SZ"	"深天马A"	"天马微电子股份有限公司"	"深A"	""	""	"LG ELECTRONICS INC"	"非上市"	"16899.34"	"2014-06-30"
"000050.SZ"	"深天马A"	"天马微电子股份有限公司"	"深A"	""	""	"联想移动通信科技有限公司"	"非上市"	"15377.47"	"2014-06-30"
"000050.SZ"	"深天马A"	"天马微电子股份有限公司"	"深A"	""	""	"Nokia do Brasil Tecnologia Ltda"	"非上市"	"10528.41"	"2014-06-30"
"000050.SZ"	"深天马A"	"天马微电子股份有限公司"	"深A"	"832163.OC"	""	"深圳市巨潮科技股份有限公司"	"三板"	"3815.44"	"2017-12-31"
"000050.SZ"	"深天马A"	"天马微电子股份有限公司"	"深A"	"832212.OC"	""	"深圳汇茂科技股份有限公司"	"三板"	"548.6"	"2017-12-31"
"000050.SZ"	"深天马A"	"天马微电子股份有限公司"	"深A"	"833552.OC"	""	"山东威尔数据股份有限公司"	"三板"	"134.26"	"2017-12-31"
"000058.SZ"	"深赛格"	"深圳赛格股份有限公司"	"深A"	""	""	"深圳市苏宁云商销售有限公司"	"非上市"	"4178.46"	"2017-12-31"
"000058.SZ"	"深赛格"	"深圳赛格股份有限公司"	"深A"	""	""	"深圳市南方韵和科技有限公司"	"非上市"	"4194.61"	"2017-12-31"
"000059.SZ"	"华锦股份"	"北方华锦化学工业股份有限公司"	"深A"	"839998.OC"	""	"辽宁正昊建设股份有限公司"	"三板"	"220.49"	"2017-12-31"
"000059.SZ"	"华锦股份"	"北方华锦化学工业股份有限公司"	"深A"	""	""	"山东通远化工有限公司"	"非上市"	"49665.81"	"2017-12-31"
"000059.SZ"	"华锦股份"	"北方华锦化学工业股份有限公司"	"深A"	""	""	"秦皇岛市恒捷塑料有限公司"	"非上市"	"105186.35"	"2017-12-31"
"000059.SZ"	"华锦股份"	"北方华锦化学工业股份有限公司"	"深A"	""	""	"中国兵器工业集团有限公司"	"非上市"	"398052.57"	"2017-12-31"
"000059.SZ"	"华锦股份"	"北方华锦化学工业股份有限公司"	"深A"	"600028.SH"	"中国石化"	"中国石油化工股份有限公司"	"沪A"	"270541.84"	"2017-12-31"
"000060.SZ"	"中金岭南"	"深圳市中金岭南有色金属股份有限公司"	"深A"	"831359.OC"	""	"湖南恒光科技股份有限公司"	"三板"	"1994.33"	"2017-12-31"
"000063.SZ"	"中兴通讯"	"中兴通讯股份有限公司"	"深A"	"834722.OC"	""	"北京赛科世纪科技股份有限公司"	"三板"	"482.74"	"2017-12-31"
"000065.SZ"	"北方国际"	"北方国际合作股份有限公司"	"深A"	""	""	"老挝国家电力公司"	"非上市"	"38405.2"	"2017-12-31"
"000065.SZ"	"北方国际"	"北方国际合作股份有限公司"	"深A"	""	""	"万宝矿产有限公司"	"非上市"	"88038.87"	"2017-12-31"
"000065.SZ"	"北方国际"	"北方国际合作股份有限公司"	"深A"	""	""	"德黑兰轨道车辆制造公司"	"非上市"	"125767.02"	"2017-12-31"
"000066.SZ"	"中国长城"	"中国长城科技集团股份有限公司"	"深A"	"601939.SH"	"建设银行"	"中国建设银行股份有限公司"	"沪A"	"39489.41"	"2017-12-31"
"000066.SZ"	"中国长城"	"中国长城科技集团股份有限公司"	"深A"	"601398.SH"	"工商银行"	"中国工商银行股份有限公司"	"沪A"	"34909.59"	"2017-12-31"
"000066.SZ"	"中国长城"	"中国长城科技集团股份有限公司"	"深A"	"837979.OC"	""	"武汉噢易云计算股份有限公司"	"三板"	"571.63"	"2017-12-31"
"000066.SZ"	"中国长城"	"中国长城科技集团股份有限公司"	"深A"	"601988.SH"	"中国银行"	"中国银行股份有限公司"	"沪A"	"23847.87"	"2017-12-31"
"000066.SZ"	"中国长城"	"中国长城科技集团股份有限公司"	"深A"	"002312.SZ"	"三泰控股"	"成都三泰控股集团股份有限公司"	"深A"	"2414.46"	"2014-12-31"
"000068.SZ"	"华控赛格"	"深圳华控赛格股份有限公司"	"深A"	""	""	"萍乡市规划勘察设计院"	"非上市"	"660.38"	"2015-12-31"
"000068.SZ"	"华控赛格"	"深圳华控赛格股份有限公司"	"深A"	""	""	"深圳市亨运通货运有限公司"	"非上市"	"1165.29"	"2015-12-31"
"000068.SZ"	"华控赛格"	"深圳华控赛格股份有限公司"	"深A"	""	""	"北京清华同衡规划设计研究院有限公司"	"非上市"	"2591.76"	"2015-12-31"
"000068.SZ"	"华控赛格"	"深圳华控赛格股份有限公司"	"深A"	""	""	"深圳市佰德瑞科技有限公司"	"非上市"	"2800.5"	"2015-12-31"
"000068.SZ"	"华控赛格"	"深圳华控赛格股份有限公司"	"深A"	""	""	"北京中环嘉诚环境工程有限公司"	"非上市"	"3817.75"	"2015-12-31"
"000070.SZ"	"特发信息"	"深圳市特发信息股份有限公司"	"深A"	""	""	"深圳市友华通信技术有限公司"	"非上市"	"8126.49"	"2016-12-31"
"000070.SZ"	"特发信息"	"深圳市特发信息股份有限公司"	"深A"	"600498.SH"	"烽火通信"	"烽火通信科技股份有限公司"	"沪A"	"10605.75"	"2016-12-31"
"000070.SZ"	"特发信息"	"深圳市特发信息股份有限公司"	"深A"	""	""	"华为软件技术有限公司"	"非上市"	"34695.53"	"2016-12-31"
"000070.SZ"	"特发信息"	"深圳市特发信息股份有限公司"	"深A"	""	""	"华为技术有限公司"	"非上市"	"49913.31"	"2016-12-31"
"000070.SZ"	"特发信息"	"深圳市特发信息股份有限公司"	"深A"	""	""	"深圳市中兴康讯电子有限公司"	"非上市"	"106145.79"	"2016-12-31"
"000078.SZ"	"海王生物"	"深圳市海王生物工程股份有限公司"	"深A"	""	""	"胜利石油管理局中心医院"	"非上市"	"30340.8"	"2013-12-31"
"000078.SZ"	"海王生物"	"深圳市海王生物工程股份有限公司"	"深A"	""	""	"潍坊市人民医院"	"非上市"	"29657.87"	"2013-12-31"
"000078.SZ"	"海王生物"	"深圳市海王生物工程股份有限公司"	"深A"	""	""	"濮阳市油田总医院"	"非上市"	"23783.38"	"2013-12-31"
"000088.SZ"	"盐田港"	"深圳市盐田港股份有限公司"	"深A"	""	""	"大冶华鑫实业有限公司"	"非上市"	"612.14"	"2017-12-31"
