"stock_code"	"chi_sht"	"com_name"	"block_name"
"000625.SZ"	"长安汽车"	"重庆长安汽车股份有限公司"	"B转H"
"600754.SH"	"锦江股份"	"上海锦江国际酒店发展股份有限公司"	"B转H"
"000539.SZ"	"粤电力A"	"广东电力发展股份有限公司"	"B转H"
"000022.SZ"	"深赤湾A"	"深圳赤湾港航股份有限公司"	"B转H"
"000011.SZ"	"深物业A"	"深圳市物业发展(集团)股份有限公司"	"B转H"
"000029.SZ"	"深深房A"	"深圳经济特区房地产(集团)股份有限公司"	"B转H"
"000019.SZ"	"深深宝A"	"深圳市深宝实业股份有限公司"	"B转H"
"600555.SH"	"海航创新"	"海航创新股份有限公司"	"B转H"
"600639.SH"	"浦东金桥"	"上海金桥出口加工区开发股份有限公司"	"B转H"
"600272.SH"	"开开实业"	"上海开开实业股份有限公司"	"B转H"
"600094.SH"	"大名城"	"上海大名城企业股份有限公司"	"B转H"
"600648.SH"	"外高桥"	"上海外高桥集团股份有限公司"	"B转H"
"000596.SZ"	"古井贡酒"	"安徽古井贡酒股份有限公司"	"B转H"
"000012.SZ"	"南玻A"	"中国南玻集团股份有限公司"	"B转H"
"000513.SZ"	"丽珠集团"	"珠海经济特区丽珠医药(集团)股份有限公司"	"B转H"
"000039.SZ"	"中集集团"	"中国国际海运集装箱（集团）股份有限公司"	"B转H"
"000002.SZ"	"万科A"	"万科企业股份有限公司"	"B转H"
"600677.SH"	"航天通信"	"航天通信控股集团股份有限公司"	"CAD"
"002410.SZ"	"广联达"	"广联达软件股份有限公司"	"CAD"
"002270.SZ"	"华明装备"	"华明电力装备股份有限公司"	"CAD"
"002195.SZ"	"二三四五"	"上海二三四五网络控股集团股份有限公司"	"CAD"
"000806.SZ"	"银河生物"	"北海银河生物产业投资股份有限公司"	"CAR-T疗法"
"300122.SZ"	"智飞生物"	"重庆智飞生物制品股份有限公司"	"CAR-T疗法"
"600276.SH"	"恒瑞医药"	"江苏恒瑞医药股份有限公司"	"CAR-T疗法"
"300272.SZ"	"开能环保"	"上海开能环保设备股份有限公司"	"CAR-T疗法"
"300009.SZ"	"安科生物"	"安徽安科生物工程(集团)股份有限公司"	"CAR-T疗法"
"002605.SZ"	"姚记扑克"	"上海姚记扑克股份有限公司"	"CAR-T疗法"
"600196.SH"	"复星医药"	"上海复星医药(集团)股份有限公司"	"CAR-T疗法"
"300181.SZ"	"佐力药业"	"浙江佐力药业股份有限公司"	"CAR-T疗法"
"600645.SH"	"中源协和"	"中源协和细胞基因工程股份有限公司"	"CAR-T疗法"
"600808.SH"	"马钢股份"	"马鞍山钢铁股份有限公司"	"CDM项目"
"000601.SZ"	"韶能股份"	"广东韶能集团股份有限公司"	"CDM项目"
"600396.SH"	"金山股份"	"沈阳金山能源股份有限公司"	"CDM项目"
"601005.SH"	"重庆钢铁"	"重庆钢铁股份有限公司"	"CDM项目"
"600438.SH"	"通威股份"	"通威股份有限公司"	"CDM项目"
"600810.SH"	"神马股份"	"神马实业股份有限公司"	"CDM项目"
"600720.SH"	"祁连山"	"甘肃祁连山水泥集团股份有限公司"	"CDM项目"
"000767.SZ"	"漳泽电力"	"山西漳泽电力股份有限公司"	"CDM项目"
"600585.SH"	"海螺水泥"	"安徽海螺水泥股份有限公司"	"CDM项目"
"002234.SZ"	"民和股份"	"山东民和牧业股份有限公司"	"CDM项目"
"600310.SH"	"桂东电力"	"广西桂东电力股份有限公司"	"CDM项目"
"600160.SH"	"巨化股份"	"浙江巨化股份有限公司"	"CDM项目"
"600022.SH"	"山东钢铁"	"山东钢铁股份有限公司"	"CDM项目"
"600569.SH"	"安阳钢铁"	"安阳钢铁股份有限公司"	"CDM项目"
"600449.SH"	"宁夏建材"	"宁夏建材集团股份有限公司"	"CDM项目"
"000825.SZ"	"太钢不锈"	"山西太钢不锈钢股份有限公司"	"CDM项目"
"000877.SZ"	"天山股份"	"新疆天山水泥股份有限公司"	"CDM项目"
"600509.SH"	"天富能源"	"新疆天富能源股份有限公司"	"CDM项目"
"601991.SH"	"大唐发电"	"大唐国际发电股份有限公司"	"CDM项目"
"600282.SH"	"南钢股份"	"南京钢铁股份有限公司"	"CDM项目"
"000932.SZ"	"*ST华菱"	"湖南华菱钢铁股份有限公司"	"CDM项目"
"600011.SH"	"华能国际"	"华能国际电力股份有限公司"	"CDM项目"
"600863.SH"	"内蒙华电"	"内蒙古蒙电华能热电股份有限公司"	"CDM项目"
"000401.SZ"	"冀东水泥"	"唐山冀东水泥股份有限公司"	"CDM项目"
"002109.SZ"	"兴化股份"	"陕西兴化化学股份有限公司"	"CDM项目"
"600578.SH"	"京能电力"	"北京京能电力股份有限公司"	"CDM项目"
"600096.SH"	"云天化"	"云南云天化股份有限公司"	"CDM项目"
"600636.SH"	"三爱富"	"上海三爱富新材料股份有限公司"	"CDM项目"
"600423.SH"	"*ST柳化"	"柳州化工股份有限公司"	"CDM项目"
